OBJECTID,X,Y,Z,Layer,GUID,MUTCD,width,height,content,comments,condition,assembly_id,Longitude,Latitude
963,416182.5342301701,3155354.405597149,156.501837734133,Sign,b11167d6-4300-4969-98c7-2a384ccf707f,D3-1,0.6145790258362042,0.2028488554110237,Alamo,,Good,a65d672d-b91b-4ac6-9506-3f05f07e60aa,-99.85662264004596,28.52223480923652
964,417644.9663528008,3155498.914228073,150.4995558820665,Sign,f8501ef0-8ce7-4078-bd9e-170a836bb8d6,M3-3,0.7183535589438768,0.3404548877960578,SOUTH,,Good,eba86073-e1cb-406b-9b11-5ddb2aa5a305,-99.84168813794363,28.523632506250326
965,439727.9132038105,3119975.144137274,175.1342853922397,Sign,ce253ca8-d755-4965-a6df-3b43bfc74955,R2-1,0.8214881013881977,1.020283817916419,SPEED LIMIT 75,,Good,2c89602b-e08c-4791-8622-8d6f195c9693,-99.61415893494119,28.204195337750587
966,443635.934072633,3160857.73600685,135.6491279220209,Sign,f0ee6219-801f-42b3-9a23-b581e65d0369,M3-4,0.6666686262322807,0.3578281060981349,WEST,,Good,43b83764-9054-4916-896d-73d95da6b0de,-99.5763310938024,28.573387916699122
967,423281.4586,3147962.70933125,143.8848807617188,Sign,5721bb79-fad0-4046-a457-800c208c0153,Unknown,0.1195706874132156,0.3107704520225525,,sign text not clear,Remove,549f4dc3-4b49-4d4a-a50b-694db2321f0d,-99.78358397889131,28.455956895820353
968,391172.3492249998,3167439.77598164,188.6911837868392,Sign,4cfc9600-b1ee-469c-a48e-e254ae0119e6,Unknown,1.252639532089233,0.1481681019067763,,SIGN TEXT NOT CLEAR,Remove,9e04bed3-5be6-4579-b56e-1e369c775fae,-100.11334204621843,28.629451230902536
969,419414.2561006357,3152482.64098445,164.1653586896136,Sign,dd34d5ed-6019-4dd2-9a35-07779e8c0612,W2-1aT,1.281007190395751,1.314844516364039,HIGHWAY INTERSECTION AHEAD,,Good,c2b6d098-53dc-438b-8502-a7617fd18489,-99.82339567078013,28.4965193923997
970,416208.7448433882,3155409.784200842,156.0291348993778,Sign,2f01b37a-0b94-49b9-a1ee-039b46946c3b,M1-4,0.6539859691783444,0.6788155454397172,83,,Good,24116977-9a21-4d32-80e4-e02a5eb93a4e,-99.85635882885306,28.522736322797208
971,439744.8241007432,3126169.848469812,144.2818522425368,Sign,5c6a5666-e585-439f-80c1-cf16c90ab319,R4-3,0.6387537640058079,0.808680669445157,SLOWER TRAFFIC KEEP RIGHT,,Good,13440d62-3855-4372-a54b-9824425d93dd,-99.61430676996092,28.26011243080573
972,391917.9392319681,3167155.64721242,198.6304649179801,Sign,48c76c2b-091e-4065-9f8c-291b177c29d0,D5-1bT,0.9584488845230612,0.9388594335165412,"PICNIC AREA 1 MILE
ACCESSIBLE",,Good,1d4e2387-7654-4788-af5d-032ad0d47485,-100.10568871636316,28.62694947298426
973,416208.7290555519,3155409.775610248,157.4316681185737,Sign,7b7ea0c9-4d8b-41ea-a610-1b706520f084,M1-6T,0.6621139818218386,0.6051905172196598,85 TEXAS,,Good,24116977-9a21-4d32-80e4-e02a5eb93a4e,-99.85635898956565,28.522736244244935
974,417651.9322934102,3155542.857624568,149.4880557646975,Sign,3ceba6b3-af2c-47aa-aabf-f40103fbf88d,W1-7T,2.532758520034751,0.995668673050374,,,Good,947ff17e-f940-4f26-b825-f0ef43d0a4e3,-99.84162010086334,28.524029564036084
975,439821.768376414,3136446.831350091,133.8093409528956,Sign,4aa4dc06-8cc9-4345-9aa8-606e4c5a93e1,W1-8,0.6880247310986104,0.8412842973623199,,,Good,1edd0b24-8ca1-4340-a429-b154948b100d,-99.61405481455073,28.352879840115296
976,445808.89876437,3160844.412897394,139.7010714849457,Sign,a28461ae-2a15-4c4f-b606-a88bae4fc144,R2-1,0.8397310607179749,0.937558114528655,SPEED LIMIT 75,,Good,ba2198ae-2d8d-4aaf-a377-a2801db331d9,-99.55411244231145,28.5733602051409
977,416208.2730402161,3155408.907832297,156.041905535385,Sign,86a2d778-3e08-484e-9fa1-19b04c965fcc,M1-4,0.6291850782567482,0.6726353545509411,83,,Good,24116977-9a21-4d32-80e4-e02a5eb93a4e,-99.8563635863855,28.52272838265637
978,417701.4145405685,3155571.949366858,149.8796965945512,Sign,3c2880f9-0a22-4aca-9624-e17296136ead,I-2aT,2.091407559096994,0.6856594085693346,Carrizo Springs CITY LIMIT POP 5800,,Good,3c991b5b-230d-4f8e-ad4c-83022c5b4a35,-99.84111650763552,28.52429526727378
979,443078.4667035406,3160838.254702927,130.3949928255752,Sign,27a457f8-ff24-483f-9e43-122743c45e56,R2-1,0.8736722171110896,0.9881729742524676,SPEED LIMIT 55,,Good,6c7e8683-12d7-4a88-8742-34dec7c858c2,-99.5820300735754,28.573187748799896
