OBJECTID,X,Y,Z,Layer,Text,MUTCD,Width,Height,Condition,Orientation
354,675632.5355919705,1303750.816302242,188.6836633506538,Sign Face,,D3-1,1.029807516909021,1.688903476309588,,-97.20342971834681
355,679974.9144235686,1304623.647271384,213.1868637364809,Sign Face,PORTLAND RD,D3-1,4.960227356808079,1.687713143393749,,5.429881884117621
356,679075.1568981421,1303618.667629652,186.4545435016365,Sign Face,AHEAD,W16-9P,2.532822722837993,2.527959703460453,,89.87795751763099
357,671731.1221475116,1302208.987405812,175.660048467231,Sign Face,"Dundee 2
McMinnville 14",D1-1,10.1489032034486,3.310602324528331,,-134.43709612085604
358,676741.8497570609,1304018.896705728,200.9868442454805,Sign Face,NO TURN ON RED,R10-11,2.8537026071173,3.379705384021669,,2.7506324965366398
359,677260.43432135,1303681.638319241,184.5398764822555,Sign Face,,R3-2,2.110375976312191,2.453785555882091,,-84.4463131364162
360,674814.2686107405,1304012.922249021,199.3443874148375,Sign Face,10 st,D3-1,2.726204204434172,1.207378612259241,,91.60694295965561
361,676131.5975168623,1303968.879015945,196.3761543263416,Sign Face,COLLEGE,D3-1,4.315211625862622,1.282701342124638,,-90.64968350587432
362,672022.1281056082,1302386.128254968,168.0197076446557,Sign Face,LEFT CURVE,W1-1,3.86779507001241,4.205416663112289,,39.777830940954914
363,678849.6195805107,1304144.896356658,195.1854819299796,Sign Face,,M6-3,2.098406159032987,1.928834464606338,,-17.0499169991633
364,679581.388251181,1304440.429464305,203.7651716166723,Sign Face,,I-5,2.130457344330515,2.470043074740512,,-112.41970064000984
365,680908.8956907417,1304928.851487648,218.8551246562471,Sign Face,DO NOT ENTER,R5-1,0.2972701236879419,0.4786205064906223,,-174.2604901559393
366,675072.9963977884,1304001.269099799,199.5057830259371,Sign Face,ONE WAY,R6-1,3.505154388157401,1.392332040105905,,-179.16901637088264
367,678831.1300131971,1303682.189598063,183.3184365124343,Sign Face,"NO PARKING 
<left arrow>",R7-1,1.984436720062116,2.418777213634781,,-35.780977453095325
368,672843.0573400302,1303281.295703357,167.9527282939624,Sign Face,RR,W10-1,3.41283524130273,3.44743096609441,,121.9839490287507
369,677336.7599056214,1303622.622449459,176.8960735841189,Sign Face,SPEED 35,R2-1,2.65102452180517,4.049482464477459,,95.15580897373087
370,676700.2048772216,1303950.005175453,191.2709930349338,Sign Face,E HANCOCK ST,D3-1,4.690319221476557,1.643402135278296,,-176.8583349482575
371,678846.543392616,1304144.035897122,195.2330623936594,Sign Face,219,M1-4,2.23513154845851,3.675689769229238,,-17.254244258506244
372,674713.0998355575,1304086.254847849,194.3669928252356,Sign Face,ONLY ONLY,R3-8a,4.02895797268925,2.68456816986164,,-88.90049322867377
373,676360.3019343339,1303920.557715028,190.813692433265,Sign Face,,R2-1,1.00601298289662,2.100537298858322,,106.94831796620954
374,679974.6316754038,1304623.521516534,211.9466115395357,Sign Face,PORTLAND RD,D3-1,3.491551700852361,1.655005094573254,,96.40656632775834
375,677471.0112173166,1303620.23801336,179.3475312735594,Sign Face,,D3-1,2.758503937971561,5.872563270759081,,99.58364597066094
376,673676.2212647606,1303750.026629871,183.814512986161,Sign Face,"LEFT AT JCT 240
NORTHWEST FRESH SEAFOOD
RIGHT 1/4 MILE
CLIFF CREEK CELLARS",D1-1,5.093600571624876,6.832040044579292,,-97.93696808786393
