OBJECTID,X,Y,Z,Layer,Text,MUTCD,Longitude,Latitude
173,3116082.870358153,1211921.10949732,5439.101383624455,Sign Face,,D3-1,-105.0861637885935,39.914359182866875
174,3116927.146679768,1211920.362579087,5422.066679298461,Sign Face,SPEED LIMIT 25,R2-1,-105.08315399454203,39.91434627662393
175,3116894.566627074,1211875.678446091,5421.329244598925,Sign Face,CARROLLALA AVENUE,D3-1,-105.08327088954645,39.91422403115851
176,3111762.48003248,1214479.180293524,5457.005010859152,Sign Face,CURVE AHEAD,W1-2,-105.10152481785468,39.921435865065085
177,3111477.681311624,1214522.70580215,5449.191107865156,Sign Face,RIGHT TURN ONLY,R3-5R,-105.10253952298471,39.92155885913703
178,3115182.881545694,1213231.788396755,5426.631115645151,Sign Face,RAILROAD CROSSING,R15-1,-105.08935057033595,39.917968714344156
179,3115304.541509887,1213385.480540106,5424.587008947115,Sign Face,,R4-7,-105.08891429487892,39.91838907898544
180,3115182.677294596,1213137.369121242,5419.079234771311,Sign Face,NO TRAIN HORN,W10-11,-105.08935285738818,39.91770951932302
181,3115294.790322143,1213392.183981065,5424.894167806686,Sign Face,ONLY,M6-1R,-105.08894894869691,39.91840760520807
182,3115219.169356566,1213394.181636908,5425.286046442568,Sign Face,SOUTH 121,M1-5,-105.08921851706697,39.91841405111211
183,3115312.764418822,1213379.890467881,5424.330258933286,Sign Face,ONLY,M6-1R,-105.08888507124284,39.91837362859734
184,3115221.762945027,1213382.250969794,5413.756513092101,Sign Face,,R4-7,-105.08920946753646,39.91838126633848
185,3115182.748982726,1213137.320261175,5421.793687442521,Sign Face,R R,W10-1,-105.08935260261732,39.91770938428212
186,3115218.190953755,1213390.135062201,5424.580281927168,Sign Face,,D3-1,-105.0892220720675,39.91840295499135
187,3115239.829154947,1213429.921574245,5420.82326006053,Sign Face,NICKEL ST 1600 W,D3-1,-105.08914427105923,39.9185119008047
188,3112557.811182738,1214453.137877956,5438.785238717775,Sign Face,NO PARKING ANY TIME,R7-8,-105.0986896226312,39.921354527897925
189,3115228.149997029,1213409.451609239,5424.779273434858,Sign Face,287,M1-4,-105.08918624736995,39.91845585567482
190,3115541.252513508,1211526.391846258,5453.157478503565,Sign Face,NO DUMPING,R8-3,-105.0881011683321,39.91328253560881
191,3112406.256467061,1214451.04090001,5441.568990645389,Sign Face,ANYTIME,R7-5,-105.09922999787544,39.92135065293427
192,3115480.137380858,1211920.633311916,5452.088265615881,Sign Face,,D3-1,-105.08831251262451,39.91436557754931
193,3115688.368572468,1214302.544744411,5402.266656643927,Sign Face,DO NOT ENTER,R5-1,-105.0875306797766,39.92090168905773
194,3115688.588042276,1214302.505496161,5404.178569577913,Sign Face,SPEED LIMIT 25,R2-1,-105.08752989795248,39.920901578511916
195,3115195.286796243,1213318.414091131,5421.7955772658,Sign Face,HWY 287,D3-1,-105.08930491346938,39.918206359482795
196,3111951.055660278,1214426.710989732,5449.695806447646,Sign Face,,R2-1,-105.10085332610282,39.921289499262784
197,3115411.722073648,1213536.599119615,5408.48962567844,Sign Face,,D3-1,-105.08852967840629,39.91880256152839
198,3115415.520343098,1213568.147504014,5405.782234813751,Sign Face,,M6-1R,-105.08851561493002,39.91888911903131
199,3116839.726408569,1211870.516900681,5418.810006917695,Sign Face,BLOOMFIELD EAGLES 40408,D3-1,-105.08346647847392,39.91421056913731
200,3111845.935229166,1214484.106349432,5451.241965049486,Sign Face,,,-105.1012271937888,39.92144835807737
201,3112685.319536722,1214498.239724473,5434.8263280316,Sign Face,,,-105.09823428567175,39.92147675543981
202,3111649.975723906,1214418.259800157,5455.226872538905,Sign Face,,,-105.10192690759511,39.921270014620625
203,3111620.898577555,1214420.062816717,5455.340275233169,Sign Face,,,-105.10203054803848,39.92127532250911
